beneficiary_name,total_donated,num_programs,ida_exemptions,ida_projects,ida_names,esd_benefits,esd_programs,ppp_loans,ppp_forgiven,ppp_jobs,combined_govt_subsidy,subsidy_per_dollar_donated
ROGER L URBAN,500.0,3,1816.0,1,Niagara County Industrial Development Agency,175000.0,Excelsior Jobs Admission,397825.0,400484.43,86,577300.4299999999,1154.6008599999998
KAFL,500.0,3,31152.43,2,Monroe Industrial Development Agency,71055.0,Empire Zone: ROCHESTER,454700.0,458994.39,30,561201.8200000001,1122.4036400000002
DRASGOW,6152.0,3,72968.55,12,Wyoming County Industrial Development Agency,0.0,LDC Loan (Wyoming County Business Assistance Corporation),483520.0,486685.72,43,559654.27,90.97111020806243
MATCHBOOK DISTILLING COMPANY,3000.0,3,87170.17,8,Suffolk County Industrial Development Agency,400000.0,Excelsior Jobs Admission; Regional Council Capital Fund,45500.0,45838.72,5,533008.89,177.66963
ORANGE COUNTY CHOPPERS,7720.0,3,71790.08,2,Orange County Industrial Development Agency,452984.0,"Empire Zone: NEWBURGH-STEWART, ORANGE COUNTY",333252.0,0.0,24,524774.08,67.97591709844559
VARGAS ASSOCIATES,250.0,3,21144.0,2,Monroe Industrial Development Agency,184689.99,Empire Zone: ROCHESTER; LDC Grant (Rochester Economic Development Corporation),199700.0,202298.84,14,408132.82999999996,1632.5313199999998
HIDDEN VALLEY ANIMAL ADVENTURE,72.0,3,64717.69,4,Wyoming County Industrial Development Agency,0.0,LDC Loan (Wyoming County Business Assistance Corporation),318445.0,320886.59,140,385604.28,5355.615000000001
HILLCREST INDUSTRIES,1400.0,3,31564.93,3,Wyoming County Industrial Development Agency,0.0,LDC Loan (Wyoming County Business Assistance Corporation),347400.0,351153.85,20,382718.77999999997,273.37055714285714
SUPERMARKET MANAGEMENT,33043.0,3,93634.19,6,Erie County Industrial Development Agency,0.0,Empire Zone: BUFFALO,226559.0,228599.96,18,322234.15,9.751964107375239
MCM DEVELOPMENT MALONE,250.0,3,155783.77,3,Franklin County Industrial Development Agency,0.0,LDC Loan (Franklin County Economic Development Corporation),138090.0,138971.2,35,294754.97,1179.0198799999998
ORANGE COUNTY CHAMBER OF COMMERCE,720.0,3,9146.4,2,Orange County Industrial Development Agency,40000.0,Miscellaneous Community and Local Development Projects,50000.0,50206.85,4,99353.25,137.990625
WHO S WE,1200.0,3,3911.0,2,Chenango Industrial Development Agency,31750.0,Empire Zone: GREATER NORWICH,50600.0,51107.39,7,86768.39,72.30699166666666
KHALILUR RAHMAN,125.0,3,2581.23,4,Cattaraugus Industrial Development Agency,7932.0,COVID Capital Costs Tax Credit Program; NYS Covid-19 Pandemic Small Business Recovery Grant Program,39047.0,39228.15,3,49741.380000000005,397.93104000000005
