project_code,authority_name,applicant_name,school_district_name,project_city,date_approved,planned_end_year,school_revenue_lost,jobs_promised,jobs_current,job_shortfall,job_shortfall_pct,revenue_per_job,avg_salary_created,total_donated,is_nonprofit
5503-00-01A,New Rochelle Industrial Development Agency,"Avalon Redevelopment, LLC",New Rochelle City School District,NEW ROCHELLE,05/24/1999,2029,3306242.0,15,0,15,100.0,3306242.0,55000.0,0.0,No
5503-00-01A,New Rochelle Industrial Development Agency,"Avalon Redevelopment, LLC",New Rochelle City School District,NEW ROCHELLE,05/24/1999,2029,3180665.0,15,0,15,100.0,3180665.0,55000.0,0.0,No
3305-18-01A,Orange County Industrial Development Agency,"Merlin Entertainment Groups, US Holdings LLC",Goshen Central School District,GOSHEN,09/21/2017,2040,3103366.42,1300,480,820,63.1,6478.84,45000.0,0.0,No
3305-18-01A,Orange County Industrial Development Agency,"Merlin Entertainment Groups, US Holdings LLC",Goshen Central School District,GOSHEN,09/21/2017,2040,3034255.7,1300,480,820,63.1,6334.56,45000.0,0.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2623808.0,6,3,3,50.0,874602.67,0.0,9933.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2493750.0,6,3,3,50.0,831250.0,0.0,9933.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2415526.0,6,3,3,50.0,805175.33,0.0,9933.0,No
3305-18-01A,Orange County Industrial Development Agency,"Merlin Entertainment Groups, US Holdings LLC",Goshen Central School District,GOSHEN,09/21/2017,2040,2399538.16,1300,480,820,63.1,5009.47,45000.0,0.0,No
90020589c,Chautauqua Industrial Development Agency,Cassadaga Wind LLC,,FREDONIA,01/23/2018,2041,2353807.02,6,0,6,100.0,2353807.02,350000.0,0.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2264827.0,6,3,3,50.0,754942.33,0.0,9933.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2209808.0,6,3,3,50.0,736602.67,0.0,9933.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2156100.0,6,3,3,50.0,718700.0,0.0,9933.0,No
90020589c,Chautauqua Industrial Development Agency,Cassadaga Wind LLC,,FREDONIA,01/23/2018,2041,2153644.3699999996,6,0,6,100.0,2153644.37,350000.0,0.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2139070.0,6,3,3,50.0,713023.33,0.0,9933.0,No
90020589c,Chautauqua Industrial Development Agency,Cassadaga Wind LLC,,FREDONIA,01/23/2018,2041,2131729.4,6,0,6,100.0,2131729.4,350000.0,0.0,No
90020589c,Chautauqua Industrial Development Agency,Cassadaga Wind LLC,,FREDONIA,01/23/2018,2041,2122337.59,6,0,6,100.0,2122337.59,350000.0,0.0,No
2802-07-06A,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,07/25/2007,2026,2117379.0,6,3,3,50.0,705793.0,0.0,9933.0,No
3101-15-14A,Onondaga County Industrial Development Agency,COR Inner Harbor Company LLC,,SYRACUSE,12/15/2015,2035,1811307.81,250,6,244,97.6,301884.64,0.0,0.0,No
2802-15-01B,Hempstead Industrial Development Agency,Avalon Bay Communities Inc.,Rockville Centre Union Free School District,ROCKVILLE CENTRE,01/29/2015,2031,1643996.0,6,3,3,50.0,547998.67,88000.0,9933.0,No
0902-06-01,Clinton County Industrial Development Agency,Noble Altona Windpark,Chateaugay Central School District,CHURUBUSCO,05/01/2008,2023,1529731.55,13,5,8,61.5,305946.31,0.0,0.0,No
3901-16-00A,Rockland County Industrial Development Agency,IRG/Pearl River Campus LLC,,PEARL RIVER,11/18/2015,2025,1514503.0,3,0,3,100.0,1514503.0,155000.0,0.0,No
0902-06-01,Clinton County Industrial Development Agency,Noble Altona Windpark,Chateaugay Central School District,CHURUBUSCO,05/01/2008,2023,1514411.0099999998,13,5,8,61.5,302882.2,0.0,0.0,No
4603 08 01A,Steuben County Industrial Development Agency,UPC Wind Management,,COHOCTON,01/24/2008,2028,1513589.96,7,0,7,100.0,1513589.96,73500.0,2500.0,No
